parcel_key,corporationname,building_address,boro,block,lot,property_type
1-2244-1,COLUMBIA UNIVERSITY,"501 W 218TH ST, Manhattan, NY",MANHATTAN,2244,1,OT
1-1973-1,COLUMBIA UNIVERSITY,"1190 AMSTERDAM AVE, Manhattan, NY",MANHATTAN,1973,1,OT
1-1989-1,COLUMBIA UNIVERSITY,"26 CLAREMONT AVE, Manhattan, NY",MANHATTAN,1989,1,OT
1-546-35,NEW YORK UNIVERSITY,"707 BROADWAY, Manhattan, NY",MANHATTAN,546,35,OT
1-546-21,NEW YORK UNIVERSITY,"8 WASHINGTON PLACE, Manhattan, NY",MANHATTAN,546,21,OT
1-535-36,NEW YORK UNIVERSITY,"17 WEST 3 STREET, Manhattan, NY",MANHATTAN,535,36,OT
1-550-22,NEW YORK UNIVERSITY,"1 5 AVENUE, Manhattan, NY",MANHATTAN,550,22,OT
1-1986-10,COLUMBIA UNIVERSITY,"555 WEST 131 STREET, Manhattan, NY",MANHATTAN,1986,10,CR
1-1987-1,COLUMBIA UNIVERSITY,"3300 BROADWAY, Manhattan, NY",MANHATTAN,1987,1,CR
1-1995-31,COLUMBIA UNIVERSITY,"3207 BROADWAY, Manhattan, NY",MANHATTAN,1995,31,OT
1-1999-33,COLUMBIA UNIVERSITY,"3289 BROADWAY, Manhattan, NY",MANHATTAN,1999,33,AP
1-1997-8027,COLUMBIA UNIVERSITY,"603 WEST 130TH STREET, Manhattan, NY",MANHATTAN,1997,8027,VN
1-1998-6,COLUMBIA UNIVERSITY,"653 WEST 131 STREET, Manhattan, NY",MANHATTAN,1998,6,CR
1-1997-8040,COLUMBIA UNIVERSITY,"604 WEST 131 STEET, Manhattan, NY",MANHATTAN,1997,8040,VN
1-1996-23,COLUMBIA UNIVERSITY,"603 WEST 129 STREET, Manhattan, NY",MANHATTAN,1996,23,OT
1-1998-13,COLUMBIA UNIVERSITY,"635 WEST 131 STREET, Manhattan, NY",MANHATTAN,1998,13,CR
1-1999-8001,COLUMBIA UNIVERSITY,"nan WEST 132 STREET, Manhattan, NY",MANHATTAN,1999,8001,OT
1-1998-1,COLUMBIA UNIVERSITY,"2301 JOE DIMAGGIO HIGHWAY, Manhattan, NY",MANHATTAN,1998,1,VN
1-1997-1,COLUMBIA UNIVERSITY,"2285 12 AVENUE, Manhattan, NY",MANHATTAN,1997,1,OT
1-1987-9,COLUMBIA UNIVERSITY,"547 WEST 133 STREET, Manhattan, NY",MANHATTAN,1987,9,CR
1-1998-24,COLUMBIA UNIVERSITY,"3267 BROADWAY, Manhattan, NY",MANHATTAN,1998,24,CR
1-1986-65,COLUMBIA UNIVERSITY,"3280 BROADWAY, Manhattan, NY",MANHATTAN,1986,65,CR
1-1998-61,COLUMBIA UNIVERSITY,"2311 12 AVENUE, Manhattan, NY",MANHATTAN,1998,61,CR
1-1986-1,COLUMBIA UNIVERSITY,"3260 BROADWAY, Manhattan, NY",MANHATTAN,1986,1,CR
1-1998-3,COLUMBIA UNIVERSITY,"2307 JOE DIMAGGIO HIGHWAY, Manhattan, NY",MANHATTAN,1998,3,VN
1-1997-8009,COLUMBIA UNIVERSITY,"631 WEST 130 STEET, Manhattan, NY",MANHATTAN,1997,8009,VN
1-1987-7,COLUMBIA UNIVERSITY,"553 WEST 133 STREET, Manhattan, NY",MANHATTAN,1987,7,CR
1-1998-16,COLUMBIA UNIVERSITY,"633 WEST 131 STREET, Manhattan, NY",MANHATTAN,1998,16,IB
1-1997-8001,COLUMBIA UNIVERSITY,"nan WEST 131 STREET, Manhattan, NY",MANHATTAN,1997,8001,OT
1-1986-30,COLUMBIA UNIVERSITY,"3270 BROADWAY, Manhattan, NY",MANHATTAN,1986,30,OF
1-1996-14,COLUMBIA UNIVERSITY,"637 WEST 125TH STREET, Manhattan, NY",MANHATTAN,1996,14,VN
1-1998-10,COLUMBIA UNIVERSITY,"641 WEST 131 STREET, Manhattan, NY",MANHATTAN,1998,10,CR
1-1998-57,COLUMBIA UNIVERSITY,"640 WEST 132 STREET, Manhattan, NY",MANHATTAN,1998,57,CR
1-1986-6,COLUMBIA UNIVERSITY,"573 WEST 131 STREET, Manhattan, NY",MANHATTAN,1986,6,CR
1-2138-30,COLUMBIA UNIVERSITY,"3975 BROADWAY, Manhattan, NY",MANHATTAN,2138,30,CR
1-2138-40,COLUMBIA UNIVERSITY,"180 FT WASHINGTON AVENUE, Manhattan, NY",MANHATTAN,2138,40,CR
2-5789-33,COLUMBIA UNIVERSITY,"3260 HENRY HUDSON PARKWAY, Bronx, NY",BRONX,5789,33,AP
3-6050-45,NEW YORK UNIVERSITY,"437 88 STREET, Brooklyn, NY",BROOKLYN,6050,45,OF
4-7010-6,NEW YORK UNIVERSITY,"76-10 174TH STREET, Queens, NY",QUEENS,7010,6,D1
1-621-68,NEW YORK UNIVERSITY,"65 CHARLES STREET, Manhattan, NY",MANHATTAN,621,68,D2
3-325-1101,NEW YORK UNIVERSITY,"323 CLINTON STREET, Brooklyn, NY",BROOKLYN,325,1101,SC
1-618-1415,NEW YORK UNIVERSITY,"122 GREENWICH AVENUE, Manhattan, NY",MANHATTAN,618,1415,SC
1-2004-1002,COLUMBIA UNIVERSITY,"2286 12TH AVE, Manhattan, NY",MANHATTAN,2004,1002,CC
1-2004-1102,COLUMBIA UNIVERSITY,"2286 12TH AVE, Manhattan, NY",MANHATTAN,2004,1102,OT
1-2004-1103,COLUMBIA UNIVERSITY,"2286 12TH AVE, Manhattan, NY",MANHATTAN,2004,1103,OT
1-2004-1101,COLUMBIA UNIVERSITY,"2286 12TH AVE, Manhattan, NY",MANHATTAN,2004,1101,OT
1-2004-1003,COLUMBIA UNIVERSITY,"2286 12TH AVE, Manhattan, NY",MANHATTAN,2004,1003,CC
1-887-30,NEW YORK UNIVERSITY,"195 LEXINGTON AVENUE, Manhattan, NY",MANHATTAN,887,30,AP
1-570-42,NEW YORK UNIVERSITY,"7 EAST 12 STREET, Manhattan, NY",MANHATTAN,570,42,OT
1-547-1,NEW YORK UNIVERSITY,"100 WASHINGTON SQUARE EAST, Manhattan, NY",MANHATTAN,547,1,OT
1-568-32,NEW YORK UNIVERSITY,"7 EAST 10 STREET, Manhattan, NY",MANHATTAN,568,32,OT
1-100-1121,NEW YORK UNIVERSITY,"150 NASSAU STREET, Manhattan, NY",MANHATTAN,100,1121,SC
1-962-1054,NEW YORK UNIVERSITY,"550 1ST AVENUE, Manhattan, NY",MANHATTAN,962,1054,IB
1-962-1028,NEW YORK UNIVERSITY,"550 1ST AVENUE, Manhattan, NY",MANHATTAN,962,1028,IB
1-966-1,NEW YORK UNIVERSITY,"606 FIRST AVENUE, Manhattan, NY",MANHATTAN,966,1,AP
1-962-1108,NEW YORK UNIVERSITY,"550 1ST AVENUE, Manhattan, NY",MANHATTAN,962,1108,IB
