owner_group,boro_label,BLOCK,LOT,STREET NUMBER,STREET NAME,PARTY TYPE,DOC. TYPE,DOC. DATE
New York University,Brooklyn,828,1,150,55TH STREET 2ND FL,1,,
New York University,Bronx,3370,53,115,EAST 235TH STREET,2,,
Columbia University,Manhattan,1886,1,2950,BROADWAY,2,,
Columbia University,Manhattan,1973,1,2960,BROADWAY,2,,
New York University,Manhattan,546,35,707,BROADWAY,2,,
New York University,Manhattan,546,21,8,WASHINGTON PLACE,2,,
New York University,Manhattan,535,36,17,WEST 3 STREET,2,,
New York University,Manhattan,1373,1334,425,MAIN STREET,2,,
New York University,Manhattan,550,22,1,5 AVENUE,2,,
New York University,Manhattan,548,4,5,UNIVERSITY PLACE,2,,
New York University,Manhattan,550,27,12,EAST 8 STREET,2,,
New York University,Manhattan,550,13,1 1/2,5 AVENUE,2,,
New York University,Queens,579,1303,31-22,29TH STREET,2,,
New York University,Queens,2997,31,63-62,84 PLACE,2,,
New York University,Brooklyn,952,1013,728,SACKETT,2,,
New York University,Brooklyn,1979,1107,483,WASHINGTON AVENUE,2,,
New York University,Brooklyn,577,13,39,WOLCOTT STREET,2,,
New York University,Bronx,3944,3714,1651,METROPOLITAN AVENUE,2,,
New York University,Brooklyn,6050,45,437,88 STREET,2,,
New York University,Queens,7010,6,76-10,174TH STREET,2,,
New York University,Manhattan,621,68,65,CHARLES STREET,1,DEED,01/21/2026
New York University,Manhattan,621,67,63,CHARLES STREET,1,DEED,01/21/2026
New York University,Brooklyn,325,1101,323,CLINTON STREET,2,DEED,12/19/2025
New York University,Queens,11101,10,106-15,215 STREET,2,,
New York University,Manhattan,618,1415,122,GREENWICH AVENUE,1,DEED,11/17/2025
New York University,Manhattan,887,30,195,LEXINGTON AVENUE,2,,
New York University,Manhattan,568,1,35,5 AVENUE,2,,
New York University,Manhattan,570,42,7,EAST 12 STREET,2,,
New York University,Manhattan,547,1,100,WASHINGTON SQUARE EAST,2,,
New York University,Manhattan,843,22,21-25,UNION SQUARE,2,,
New York University,Manhattan,568,32,7,EAST 10 STREET,2,,
New York University,Manhattan,562,30,787,BROADWAY,2,,
New York University,Manhattan,940,12,321,EAST 34 STREET,2,,
New York University,Brooklyn,351,1007,411,CLINTON STREET,2,,
New York University,Brooklyn,1100,1011,425,14 STREET,2,,
New York University,Queens,5004,1048,35-20,147TH STREET,1,DEED,09/29/2025
New York University,Manhattan,100,1121,150,NASSAU STREET,2,,
New York University,Queens,1155,59,32-43,53RD PLACE,1,,
New York University,Manhattan,962,1054,550,1ST AVENUE,2,,
New York University,Manhattan,962,1028,550,1ST AVENUE,2,,
New York University,Manhattan,966,1,606,FIRST AVENUE,2,,
New York University,Manhattan,962,1108,550,1ST AVENUE,2,,
