school,boro_label,BLOCK,LOT,STREET NUMBER,STREET NAME,NAME,PARTY TYPE,DOC. TYPE,DOC. DATE,is_new
Columbia University,Manhattan,2244,1,501,W 218TH ST,THE TRUSTEES OF COLUMBIA UNIVERSITY,2,,,True
Columbia University,Manhattan,1886,1,2950,BROADWAY,TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1973,1,2960,BROADWAY,TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1989,1,26,CLAREMONT AVE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1990,22,29,CLAREMONT AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
New York University,Manhattan,546,35,707,BROADWAY,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,546,21,8,WASHINGTON PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,535,36,17,WEST 3 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,550,22,1,5 AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,548,4,5,UNIVERSITY PLACE,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,550,27,12,EAST 8 STREET,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,550,13,1 1/2,5 AVENUE,NEW YORK UNIVERSITY,2,,,False
Columbia University,Manhattan,1986,10,555,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1987,1,3300,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1995,31,3207,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1999,33,3289,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1997,8027,603,WEST 130TH STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,6,653,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1997,8040,604,WEST 131 STEET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1996,23,603,WEST 129 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,13,635,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1999,8001,,WEST 132 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,1,2301,JOE DIMAGGIO HIGHWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1997,1,2285,12 AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1987,9,547,WEST 133 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,24,3267,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1986,65,3280,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,61,2311,12 AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1986,1,3260,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,3,2307,JOE DIMAGGIO HIGHWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1997,8009,631,WEST 130 STEET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1987,7,553,WEST 133 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,16,633,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1997,8001,,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1986,30,3270,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1996,14,637,WEST 125TH STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,10,641,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1998,57,640,WEST 132 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,1999,36,3291,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,False
Columbia University,Manhattan,1986,6,573,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
Columbia University,Manhattan,2138,30,3975,BROADWAY,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,,,True
Columbia University,Manhattan,2138,40,180,FT WASHINGTON AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,,,True
Columbia University,Bronx,5789,33,3260,HENRY HUDSON PARKWAY,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,DEED,04/21/2026,True
New York University,Brooklyn,6050,45,437,88 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Queens,7010,6,76-10,174TH STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,621,68,65,CHARLES STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,DEED,01/21/2026,True
New York University,Manhattan,621,67,63,CHARLES STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,DEED,01/21/2026,False
New York University,Brooklyn,325,1101,323,CLINTON STREET,NEW YORK UNIVERSITY SCHOOL OF,2,DEED,12/19/2025,True
New York University,Manhattan,618,1415,122,GREENWICH AVENUE,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,DEED,11/17/2025,True
Columbia University,Manhattan,2004,1002,2286,12TH AVE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
Columbia University,Manhattan,2004,1102,2286,12TH AVE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
Columbia University,Manhattan,2004,1103,2286,12TH AVE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
Columbia University,Manhattan,2004,1101,2286,12TH AVE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
Columbia University,Manhattan,2004,1003,2286,12TH AVE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
New York University,Manhattan,887,30,195,LEXINGTON AVENUE,NEW YORK UNIVERSITY,2,,,True
