DOCUMENT ID,PARTY TYPE,NAME,school,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2026051900620002,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,2244,1,501,W 218TH ST,,,,Manhattan
2026051200445001,2,TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,Columbia University,1,1886,1,2950,BROADWAY,,,,Manhattan
2026051200445001,2,TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,Columbia University,1,1973,1,2960,BROADWAY,,,,Manhattan
2026051300435001,2,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,Columbia University,1,1989,1,26,CLAREMONT AVE,,,,Manhattan
2026051300435001,2,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,Columbia University,1,1990,22,29,CLAREMONT AVENUE,,,,Manhattan
2026051900620004,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,2244,1,501,W 218TH ST,,,,Manhattan
2026051300336001,2,NEW YORK UNIVERSITY,New York University,1,546,35,707,BROADWAY,,,,Manhattan
2026051300336001,2,NEW YORK UNIVERSITY,New York University,1,546,21,8,WASHINGTON PLACE,,,,Manhattan
2026051900620001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,2244,1,501,W 218TH ST,,,,Manhattan
2026051200606001,2,TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,Columbia University,1,1973,1,1190,AMSTERDAM AVE,,,,Manhattan
2026051300361001,2,NEW YORK UNIVERSITY,New York University,1,535,36,17,WEST 3 STREET,,,,Manhattan
2026051300361001,2,NEW YORK UNIVERSITY,New York University,1,546,21,8,WASHINGTON PLACE,,,,Manhattan
2026051900620003,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,2244,1,501,W 218TH ST,,,,Manhattan
2026051300307001,2,NEW YORK UNIVERSITY,New York University,1,550,22,1,5 AVENUE,,,,Manhattan
2026051300307001,2,NEW YORK UNIVERSITY,New York University,1,548,4,5,UNIVERSITY PLACE,,,,Manhattan
2026051300307001,2,NEW YORK UNIVERSITY,New York University,1,550,27,12,EAST 8 STREET,,,,Manhattan
2026051300307001,2,NEW YORK UNIVERSITY,New York University,1,550,13,1 1/2,5 AVENUE,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1986,10,555,WEST 131 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1987,1,3300,BROADWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1995,31,3207,BROADWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1999,33,3289,BROADWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1997,8027,603,WEST 130TH STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,6,653,WEST 131 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1997,8040,604,WEST 131 STEET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1996,23,603,WEST 129 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,13,635,WEST 131 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1999,8001,,WEST 132 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,1,2301,JOE DIMAGGIO HIGHWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1997,1,2285,12 AVENUE,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1987,9,547,WEST 133 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,24,3267,BROADWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1986,65,3280,BROADWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,61,2311,12 AVENUE,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1986,1,3260,BROADWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,3,2307,JOE DIMAGGIO HIGHWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1997,8009,631,WEST 130 STEET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1987,7,553,WEST 133 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,16,633,WEST 131 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1997,8001,,WEST 131 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1986,30,3270,BROADWAY,,,,Manhattan
