school,matched_keyword,name,row_count,doc_count
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,95,92
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,92,92
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIVERSITY,88,84
Columbia University,COLUMBIA,COLUMBIA UNIV CITY NY TR,80,79
Columbia University,COLUMBIA,COLUMBIA UNIV IN NYCTR,80,80
Columbia University,COLUMBIA,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,64,64
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,61,61
Columbia University,COLUMBIA,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,45,45
Columbia University,COLUMBIA,TRUSTEES COLUMBIA UNIV,30,30
Columbia University,COLUMBIA,TRUSTEES OF COLUMBIA UNIVERSITY,24,24
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF N.Y.,16,16
Columbia University,COLUMBIA,COLUMBIA UNIVERSITYNYC,14,14
Columbia University,COLUMBIA,COLUMBIA UNIVERSITY,13,13
Columbia University,COLUMBIA,COLUMBIA UNIV NYC TR,13,13
Columbia University,COLUMBIA,TRUSTEES/COLUMBIA UNIVER,13,13
Columbia University,COLUMBIA,COLUMBIA UNIV CITY OF NY,12,12
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIVERSITY IN CITY OF NY,11,11
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIVERSITY IN,8,8
Columbia University,COLUMBIA,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE,8,8
Columbia University,COLUMBIA,COLUMBIA UNIVERSITYIN THE CITY OF N.Y.,8,8
Columbia University,COLUMBIA,TRUSTEES OF COLUMBIA UNIVERSITY CITY OF NEW YORK,7,7
Columbia University,COLUMBIA,COLUMBIA UNIVERSITYTR,7,7
Columbia University,COLUMBIA,COLUMBIA UNIV NYC TRSTS,7,7
Columbia University,COLUMBIA,COLUMBIA UNIVERSITYETC,7,7
