CorporationName,building_address,business_address,RegistrationID,BuildingID,Boro,BoroID,Block,Lot,BIN,RegistrationContactID
NEW YORK UNIVERSITY,"330 EAST 22 STREET, NEW YORK, NY, 10010","339 EAST 28TH STRRET, New York, NY 10016",139611,12578,MANHATTAN,1,927,38,1020564.0,13961103
NEW YORK UNIVERSITY,"330 EAST 22 STREET, NEW YORK, NY, 10010","1 PARK AVEUE APARTMENT 5-893, New York, NY 10016",139611,12578,MANHATTAN,1,927,38,1020564.0,13961104
NEW YORK UNIVERSITY,"334 EAST 26 STREET, NEW YORK, NY, 10010","1 PARK AVEUE APARTMENT 5-893, New York, NY 10016",140777,12777,MANHATTAN,1,931,21,1020607.0,14077704
NEW YORK UNIVERSITY,"334 EAST 26 STREET, NEW YORK, NY, 10010","339 EAST 28TH STREET, New York, NY 10016",140777,12777,MANHATTAN,1,931,21,1020607.0,14077703
NEW YORK UNIVERSITY,"564 1 AVENUE, NEW YORK, NY, 10016","1 PARK AVEUE APARTMENT 5-893, New York, NY 10016",142610,864767,MANHATTAN,1,962,7501,1085695.0,14261004
NEW YORK UNIVERSITY,"564 1 AVENUE, NEW YORK, NY, 10016","399 EAST 28TH STREET, New York, NY 10016",142610,864767,MANHATTAN,1,962,7501,1085695.0,14261003
THE NEW SCHOOL,"301 1 AVENUE, NEW YORK, NY, 10003","55 WEST 13TH STREET, New York, NY 10011",138973,556,MANHATTAN,1,93,7501,1020438.0,13897303
THE NEW SCHOOL,"301 1 AVENUE, NEW YORK, NY, 10003","55 WEST 13TH STREET, NEW YORK, NY 10011",138973,556,MANHATTAN,1,93,7501,1020438.0,13897304
TRUSTEES OF COLUMBIA UNIVERSITY,"546 WEST 113 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",611029,38087,MANHATTAN,1,1884,53,1057008.0,61102903
NEW YORK UNIVERSITY,"545 1 AVENUE, NEW YORK, NY, 10016","339 EAST 28TH STREET, New York, NY 10016",140425,611,MANHATTAN,1,936,37,1020760.0,14042503
NEW YORK UNIVERSITY,"545 1 AVENUE, NEW YORK, NY, 10016","1 PARK AVENUE APARTMENT 5893, New York, NY 10016",140425,611,MANHATTAN,1,936,37,1020760.0,14042504
TRUSTEES OF COLUMBIA UNIVERSITY,"542 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",130535,38189,MANHATTAN,1,1885,53,1057043.0,13053503
